id	title	startTime	endTime	url	tags	address	name	latitude	longitude
1112	Leren Leren: Univ Editie	2022-11-17T11:30:00Z	2022-11-17T13:00:00Z						
1113	Historia | Studio 100 feestje	2022-11-15T19:00:00Z	2022-11-15T22:59:00Z	https://www.facebook.com/events/3157093491269583	Party	Blijde Inkomststraat 11	Fakbar Letteren	50.87763782823304	4.707891391215502
1114	Historia | Cultuuruitstap Antwerpen	2022-11-18T10:00:00Z	2022-11-18T15:00:00Z	https://www.facebook.com/events/538625564261782	Culture		Station Antwerpen	51.217520534726496	4.421136425433336
1115	Historia | Jenevervoetbal	2022-11-24T19:00:00Z	2022-11-24T21:00:00Z	https://www.facebook.com/events/1465986060473798	Sport	Brouwersstraat	De Bruul	50.88394673024469	4.695317195353685
1116	Jong Voorzittersdebat 	2022-11-24T18:00:00Z	2022-11-24T19:45:00Z	https://fb.me/e/2qQ8an8oa	Culture	Parkstraat 45, 3000 Leuven 	AV 91.12, Faculteit sociale weteschappen 		
1117	IN-HOUSE EVENT Antwerp Management School X BLASE	2022-11-23T12:00:00Z	2022-11-23T19:00:00Z	https://docs.google.com/forms/d/1uJprND-qLxiHm5KsDHPPv9UaVIVYXlFboO7YZ_RcGfo/edit.	Workshop	 Boogkeers 5 2000 Antwerpen	Antwerp management school		
1118	Online infosession BLASE BOOTCAMP	2022-11-28T18:30:00Z	2022-11-28T20:00:00Z	https://forms.gle/GhyQv2SfoETDCuTy8	Workshop	Online			
1119	Tapping course	2022-11-15T18:00:00Z	2022-11-15T20:00:00Z		Culture		Recup		
1120	Tax & Legal Experience	2022-11-30T08:00:00Z	2022-11-30T16:00:00Z	https://eycareers.be/events/tax-legal-experience/	Career	De Kleetlaan 2, 1831 Diegem	EY head office		
1122	Amnesty Writing Afternoon	2022-11-28T12:00:00Z	2022-11-28T18:00:00Z	https://fb.me/e/3CXipcQUU	Culture, Charity, International	Blijde Inkomststraat 11, 3000 Leuven	Fakbar Letteren		
1123	Ravioli foodsale 	2022-11-23T10:00:00Z	2022-11-23T13:00:00Z	https://fb.me/e/2Xw12wbT4	Quiz, Culinary, First-year students	Erasmusplein 2, 3000 Leuven	MSI (faculty of ARTS)		
1124	Masked evening	2022-12-01T19:00:00Z	2022-12-02T03:00:00Z	https://fb.me/e/9x8wq3bON	Party, International	Blijde Inkomststraat 11, 3000 Leuven	Fakbar Letteren	50.877242647278884	4.708017455039202
1125	Peter- en metersoirée	2022-11-16T20:00:00Z	2022-11-16T22:00:00Z	https://fb.me/e/2c3Zytz47	First-year students	Erasmusplein 2, 3000 Leuven	MSI 02.18	50.87763105856614	4.707794831690966
1126	BIOS: Reis rond de wereld QUIZ (VOLZET)	2022-11-16T18:30:00Z	2022-11-16T22:59:00Z	https://fb.me/e/2Xd4mkVi6	Quiz	Hagelandstraat 4, 3012 Leuven			
1127	BIOS Blokhutavond	2022-11-15T20:00:00Z	2022-11-16T02:00:00Z	https://fb.me/e/3G4cf4i9Y	Party	Oude Markt 49, Leuven, Belgium	Blokhut 		
1128	Historia |Onderwijsvergadering	2022-11-22T17:00:00Z	2022-11-22T19:00:00Z	https://www.facebook.com/events/1075898946425582	Education	Erasmusplein 2	MSI 00.08	50.87763782823301	4.707864569125353
1129	Consulting Job Fair by 180DC Leuven	2022-11-24T18:30:00Z	2022-11-24T21:00:00Z	https://fb.me/e/2qyJZnxG5	International, Career	Parkstraat 51, 3000 Leuven	Entrance Hall Max Weber		
1130	Pajama Party	2022-11-25T22:00:00Z	2022-11-26T04:00:00Z	https://www.facebook.com/events/534916268094827?ref=newsfeed	Party	Kiekenstraat 6, 3000 Leuven	Rumba & Co		
1131	BIOS: Anything But A Cup Cantus	2022-11-24T19:00:00Z	2022-11-24T21:00:00Z	https://fb.me/e/2wRBqZQbq	Cantus	Kiekenstraat 6, 3000 Leuven	Popclub 		
1132	BIOS Christmasparty	2022-12-15T17:00:00Z	2022-12-15T21:00:00Z	https://fb.me/e/5BI0hkup5	Culinary	Leuven Hagelandstraat 4	Pacem		
1133	PEME-groepen jeneverwandeling // Genderweek	2022-11-23T20:00:00Z	2022-11-23T22:00:00Z	https://www.facebook.com/events/800373197738623?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Party, First-year students	Steengroevelaan 3, 3001 Heverlee	Cudi		
1134	Carreer Evening 3	2022-11-29T18:00:00Z	2022-11-29T21:00:00Z	https://fb.me/e/24hFpod0A	Education, Career		Aula Jozef Heuts - LBI 00.215		
1135	Historia | De soep van Ben Weyts eetverkoop	2022-11-23T11:30:00Z	2022-11-23T13:30:00Z	https://www.facebook.com/events/499928375418189	Culinary	Erasmusplein 2	Fakbar Letteren	50.87749228017723	4.708020137248217
1136	VTK Internship Fair	2022-11-21T14:00:00Z	2022-11-21T19:00:00Z	https://www.facebook.com/events/5519616144813200/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Career		OHL business seats	50.86812547619339	4.694314049182116
1137	Theo hijacks 't ElixIr	2022-11-23T21:00:00Z	2022-11-24T03:00:00Z	https://www.facebook.com/events/5865484196829821?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Party		't ElixIr	50.86994008179706	4.6956980690338
